Symbol,Name,NSE Code,BSE Code,Close Price,Volume,Screener Count,High Conviction
AUBANK,AU Small Finance Bank,AUBANK,540611,994.9,1802819,1,No
BANDHANBNK,Bandhan Bank Ltd,BANDHANBNK,541153,165.44,4430723,1,No
BELRISE,Belrise Industries Ltd,BELRISE,,186.71,5220884,1,No
BPCL,Bharat Petroleum Corporation Limited,BPCL,500547,374.1,2696607,1,No
BRITANNIA,Britannia Industries Limited,BRITANNIA,500825,5980.5,159821,1,No
CEATLTD,Ceat Limited,CEATLTD,500878,3965.3,217124,1,No
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,511243,1709.4,1544271,1,No
COALINDIA,Coal India Limited,COALINDIA,533278,408.95,8190851,1,No
COLPAL,Colgate Palmolive (india) Limited,COLPAL,500830,2122.2,374088,1,No
CONCOR,Container Corporation Of India Limited,CONCOR,531344,498.3,588653,1,No
CUMMINSIND,Cummins India Limited,CUMMINSIND,500480,4412.4,512643,1,No
DATAPATTNS,Data Patterns (India) Ltd,DATAPATTNS,543428,2768.8,256905,1,No
DELHIVERY,Delhivery Ltd,DELHIVERY,543529,420.55,3032569,1,No
DMART,Avenue Supermarts,DMART,540376,3909.2,219061,1,No
EICHERMOT,Eicher Motors Limited,EICHERMOT,505200,8065.0,967939,1,No
ELGIEQUIP,Elgi Equipments Limited,ELGIEQUIP,522074,509.55,2365077,1,No
ENRIN,Siemens Energy India Ltd,ENRIN,,2740.1,1006399,1,No
GICRE,General Insurance Corporation of India,GICRE,540755,390.6,694021,1,No
GLAXO,Glaxosmithkline Pharmaceuticals Limited,GLAXO,500660,2594.4,61048,1,No
GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK,532296,1997.6,865050,1,No
GMDCLTD,Gujarat Mineral Development Corporation Limited,GMDCLTD,532181,571.1,2178121,1,No
GODREJCP,Godrej Consumer Products Limited,GODREJCP,532424,1195.4,827685,1,No
GPIL,Godawari Power And Ispat Limited,GPIL,532734,258.65,1366289,1,No
GRINDWELL,Grindwell Norton Limited,GRINDWELL,506076,1635.7,115640,1,No
GSPL,Gujarat State Petronet Limited,GSPL,532702,309.95,163099,1,No
GUJGASLTD,Gujarat Gas Limited,GUJGASLTD,539336,424.4,195691,1,No
HAVELLS,Havells India Limited,HAVELLS,517354,1404.0,774193,1,No
IDEA,Vodafone Idea Ltd,IDEA,532822,11.3,351653687,1,No
IKS,Inventurus Knowledge Solutions Ltd,IKS,544309,1640.5,130076,1,No
INDIANB,Indian Bank,INDIANB,532814,873.7,877486,1,No
